"avail","used","pUse","pAvail","selection","selectionN","lnSelection","landcoverType"
"Alpine Herb",55,0,0,0.0275551102204409,0,0,-Inf,"Alpine Herb"
"Alpine Shrub",34,2,0.00484261501210654,0.0170340681362725,0.284289987181313,0.0588235294117647,-1.25776048014584,"Alpine Shrub"
"Burn-Forest",39,30,0.0726392251815981,0.0195390781563126,3.71763829390948,0.769230769230769,1.31308859944289,"Burn-Forest"
"Burn-Grassland",8,5,0.0121065375302663,0.00400801603206413,3.02058111380145,0.625,1.10544923466464,"Burn-Grassland"
"Burn-Shrub",1,0,0,0.000501002004008016,0,0,-Inf,"Burn-Shrub"
"Closed Conifer",429,58,0.14043583535109,0.214929859719439,0.65340309408106,0.135198135198135,-0.425561044471221,"Closed Conifer"
"Deciduous",3,0,0,0.00150300601202405,0,0,-Inf,"Deciduous"
"Herbaceous",35,21,0.0508474576271186,0.0175350701402806,2.89975786924939,0.6,1.06462724014439,"Herbaceous"
"Mixed",17,29,0.0702179176755448,0.00851703406813627,8.24440962825808,1.70588235294118,2.10953534984063,"Mixed"
"Moderate Conifer",557,175,0.423728813559322,0.279058116232465,1.51842497641725,0.314183123877917,0.417673597906607,"Moderate Conifer"
"Open Conifer",92,37,0.0895883777239709,0.0460921843687375,1.94367828192441,0.402173913043478,0.664582199505561,"Open Conifer"
"Regen",2,0,0,0.00100200400801603,0,0,-Inf,"Regen"
"Rock-Ice",629,10,0.0242130750605327,0.315130260521042,0.0768351316706252,0.0158982511923688,-2.56609329979602,"Rock-Ice"
"Shrub",87,34,0.0823244552058111,0.0435871743486974,1.88873117920459,0.390804597701149,0.635905269871954,"Shrub"
"Water",8,12,0.0290556900726392,0.00400801603206413,7.24939467312349,1.5,1.98091797201854,"Water"
